sample,emu_frame,slot,routine,flags,x,y,on_screen,screenshot
558,20741,0x1780,$02:9274,E0,272.0,188.0,False,frame_0558.png
560,20743,0x1000,$04:DF96,C8,21.5,112.0,True,frame_0560.png
560,20743,0x1080,$04:E6AF,C8,181.0,112.0,True,frame_0560.png
560,20743,0x10C0,$04:E6AF,C8,71.0,112.0,True,frame_0560.png
560,20743,0x1400,$04:FABA,C8,179.562,114.477,True,frame_0560.png
560,20743,0x16C0,$02:90F0,C8,238.0,184.0,True,frame_0560.png
560,20743,0x1700,$02:9274,E0,238.0,176.0,True,frame_0560.png
560,20743,0x1740,$02:90F0,C8,270.0,196.0,False,frame_0560.png
560,20743,0x1780,$02:9274,E0,270.0,188.0,False,frame_0560.png
562,20745,0x1000,$04:DF96,C8,21.5,112.0,True,frame_0562.png
562,20745,0x1080,$04:E6AF,C8,203.0,112.0,True,frame_0562.png
562,20745,0x10C0,$04:E6AF,C8,93.0,112.0,True,frame_0562.png
562,20745,0x1400,$04:FABA,C8,178.938,114.234,True,frame_0562.png
562,20745,0x16C0,$02:90F0,C8,236.0,184.0,True,frame_0562.png
562,20745,0x1700,$02:9274,E0,236.0,176.0,True,frame_0562.png
562,20745,0x1740,$02:90F0,C8,268.0,196.0,False,frame_0562.png
562,20745,0x1780,$02:9274,E0,268.0,188.0,False,frame_0562.png
564,20747,0x1000,$04:DF96,C8,21.5,112.0,True,frame_0564.png
564,20747,0x1080,$04:E6AF,C8,225.0,112.0,True,frame_0564.png
564,20747,0x10C0,$04:E6AF,C8,115.0,112.0,True,frame_0564.png
564,20747,0x1400,$04:FABA,C8,178.312,113.961,True,frame_0564.png
564,20747,0x16C0,$02:90F0,C8,234.0,184.0,True,frame_0564.png
564,20747,0x1700,$02:9274,E0,234.0,176.0,True,frame_0564.png
564,20747,0x1740,$02:90F0,C8,266.0,196.0,False,frame_0564.png
564,20747,0x1780,$02:9274,E0,266.0,188.0,False,frame_0564.png
566,20749,0x1000,$04:DF96,C8,21.5,112.0,True,frame_0566.png
566,20749,0x1080,$04:E6AF,C8,247.0,112.0,True,frame_0566.png
566,20749,0x10C0,$04:E6AF,C8,137.0,112.0,True,frame_0566.png
566,20749,0x1400,$04:FABA,C8,177.688,113.656,True,frame_0566.png
566,20749,0x16C0,$02:90F0,C8,232.0,184.0,True,frame_0566.png
566,20749,0x1700,$02:9274,E0,232.0,176.0,True,frame_0566.png
566,20749,0x1740,$02:90F0,C8,264.0,196.0,False,frame_0566.png
566,20749,0x1780,$02:9274,E0,264.0,188.0,False,frame_0566.png
568,20751,0x1000,$04:DF96,C8,21.5,112.0,True,frame_0568.png
568,20751,0x10C0,$04:E6AF,C8,159.0,112.0,True,frame_0568.png
568,20751,0x1400,$04:FABA,C8,177.062,113.32,True,frame_0568.png
568,20751,0x16C0,$02:90F0,C8,230.0,184.0,True,frame_0568.png
568,20751,0x1700,$02:9274,E0,230.0,176.0,True,frame_0568.png
568,20751,0x1740,$02:90F0,C8,262.0,196.0,False,frame_0568.png
568,20751,0x1780,$02:9274,E0,262.0,188.0,False,frame_0568.png
570,20753,0x1000,$04:DF96,C8,21.5,112.0,True,frame_0570.png
570,20753,0x1080,$04:E6AF,C8,27.0,112.0,True,frame_0570.png
570,20753,0x10C0,$04:E6AF,C8,181.0,112.0,True,frame_0570.png
570,20753,0x1400,$04:FABA,C8,176.438,112.953,True,frame_0570.png
570,20753,0x16C0,$02:90F0,C8,228.0,184.0,True,frame_0570.png
570,20753,0x1700,$02:9274,E0,228.0,176.0,True,frame_0570.png
570,20753,0x1740,$02:90F0,C8,260.0,196.0,False,frame_0570.png
570,20753,0x1780,$02:9274,E0,260.0,188.0,False,frame_0570.png
572,20755,0x1000,$04:DF96,C8,21.5,112.0,True,frame_0572.png
572,20755,0x1080,$04:E6AF,C8,49.0,112.0,True,frame_0572.png
572,20755,0x10C0,$04:E6AF,C8,203.0,112.0,True,frame_0572.png
572,20755,0x1400,$04:FABA,C8,175.812,112.555,True,frame_0572.png
572,20755,0x16C0,$02:90F0,C8,226.0,184.0,True,frame_0572.png
572,20755,0x1700,$02:9274,E0,226.0,176.0,True,frame_0572.png
572,20755,0x1740,$02:90F0,C8,258.0,196.0,False,frame_0572.png
572,20755,0x1780,$02:9274,E0,258.0,188.0,False,frame_0572.png
574,20757,0x1000,$04:DF96,C8,21.5,112.0,True,frame_0574.png
574,20757,0x1080,$04:E6AF,C8,71.0,112.0,True,frame_0574.png
574,20757,0x10C0,$04:E6AF,C8,225.0,112.0,True,frame_0574.png
574,20757,0x1400,$04:FABA,C8,175.188,112.125,True,frame_0574.png
574,20757,0x16C0,$02:90F0,C8,224.0,184.0,True,frame_0574.png
574,20757,0x1700,$02:9274,E0,224.0,176.0,True,frame_0574.png
574,20757,0x1740,$02:90F0,C8,256.0,196.0,False,frame_0574.png
574,20757,0x1780,$02:9274,E0,256.0,188.0,False,frame_0574.png
576,20759,0x1000,$04:DF96,C8,21.5,112.0,True,frame_0576.png
576,20759,0x1080,$04:E6AF,C8,93.0,112.0,True,frame_0576.png
576,20759,0x10C0,$04:E6AF,C8,247.0,112.0,True,frame_0576.png
576,20759,0x1400,$04:FABA,C8,174.562,111.664,True,frame_0576.png
576,20759,0x16C0,$02:90F0,C8,222.0,184.0,True,frame_0576.png
576,20759,0x1700,$02:9274,E0,222.0,176.0,True,frame_0576.png
576,20759,0x1740,$02:90F0,C8,254.0,196.0,True,frame_0576.png
576,20759,0x1780,$02:9274,E0,254.0,188.0,True,frame_0576.png
578,20761,0x1000,$04:DF96,C8,21.5,112.0,True,frame_0578.png
578,20761,0x1080,$04:E6AF,C8,115.0,112.0,True,frame_0578.png
578,20761,0x1400,$04:FABA,C8,173.938,111.172,True,frame_0578.png
578,20761,0x16C0,$02:90F0,C8,220.0,184.0,True,frame_0578.png
578,20761,0x1700,$02:9274,E0,220.0,176.0,True,frame_0578.png
578,20761,0x1740,$02:90F0,C8,252.0,196.0,True,frame_0578.png
578,20761,0x1780,$02:9274,E0,252.0,188.0,True,frame_0578.png
580,20763,0x1000,$04:DF96,C8,21.5,112.0,True,frame_0580.png
580,20763,0x1080,$04:E6AF,C8,137.0,112.0,True,frame_0580.png
580,20763,0x10C0,$04:E6AF,C8,27.0,112.0,True,frame_0580.png
580,20763,0x1400,$04:FABA,C8,173.312,110.648,True,frame_0580.png
580,20763,0x16C0,$02:90F0,C8,218.0,184.0,True,frame_0580.png
580,20763,0x1700,$02:9274,E0,218.0,176.0,True,frame_0580.png
580,20763,0x1740,$02:90F0,C8,250.0,196.0,True,frame_0580.png
580,20763,0x1780,$02:9274,E0,250.0,188.0,True,frame_0580.png
582,20765,0x1000,$04:DF96,C8,21.5,112.0,True,frame_0582.png
582,20765,0x1080,$04:E6AF,C8,159.0,112.0,True,frame_0582.png
582,20765,0x10C0,$04:E6AF,C8,49.0,112.0,True,frame_0582.png
582,20765,0x1400,$04:FABA,C8,172.688,110.094,True,frame_0582.png
582,20765,0x16C0,$02:90F0,C8,216.0,184.0,True,frame_0582.png
582,20765,0x1700,$02:9274,E0,216.0,176.0,True,frame_0582.png
582,20765,0x1740,$02:90F0,C8,248.0,196.0,True,frame_0582.png
582,20765,0x1780,$02:9274,E0,248.0,188.0,True,frame_0582.png
584,20767,0x1000,$04:DF96,C8,21.5,112.0,True,frame_0584.png
584,20767,0x1080,$04:E6AF,C8,181.0,112.0,True,frame_0584.png
584,20767,0x10C0,$04:E6AF,C8,71.0,112.0,True,frame_0584.png
584,20767,0x1400,$04:FABA,C8,172.062,109.508,True,frame_0584.png
584,20767,0x16C0,$02:90F0,C8,214.0,184.0,True,frame_0584.png
584,20767,0x1700,$02:9274,E0,214.0,176.0,True,frame_0584.png
584,20767,0x1740,$02:90F0,C8,246.0,196.0,True,frame_0584.png
584,20767,0x1780,$02:9274,E0,246.0,188.0,True,frame_0584.png
586,20769,0x1000,$04:DF96,C8,21.5,112.0,True,frame_0586.png
586,20769,0x1080,$04:E6AF,C8,203.0,112.0,True,frame_0586.png
586,20769,0x10C0,$04:E6AF,C8,93.0,112.0,True,frame_0586.png
586,20769,0x1400,$04:FABA,C8,171.438,108.891,True,frame_0586.png
