sample,source_frame,result_frame,requested_mask,poll_mask,input_polls,speed_percent,lagged
657,20839,20840,8,8,4,50,false
658,20840,20841,136,136,4,50,false
659,20841,20842,136,136,4,50,false
660,20842,20843,136,136,4,50,false
661,20843,20844,132,132,4,50,false
662,20844,20845,4,4,4,50,false
663,20845,20846,4,4,4,50,false
664,20846,20847,4,4,4,50,false
665,20847,20848,4,4,4,50,false
666,20848,20849,132,132,4,50,false
667,20849,20850,136,136,4,50,false
668,20850,20851,136,136,4,50,false
669,20851,20852,136,136,4,50,false
670,20852,20853,8,8,4,50,false
671,20853,20854,8,8,4,50,false
672,20854,20855,8,8,4,50,false
673,20855,20856,4,4,4,50,false
674,20856,20857,132,132,4,50,false
675,20857,20858,132,132,4,50,false
676,20858,20859,132,132,4,50,false
677,20859,20860,132,132,4,50,false
678,20860,20861,4,4,4,50,false
679,20861,20862,8,8,4,50,false
680,20862,20863,8,8,4,50,false
681,20863,20864,8,8,4,50,false
682,20864,20865,136,136,4,50,false
683,20865,20866,136,136,4,50,false
684,20866,20867,136,136,4,50,false
685,20867,20868,132,132,4,50,false
686,20868,20869,4,4,4,50,false
687,20869,20870,4,4,4,50,false
688,20870,20871,4,4,4,50,false
689,20871,20872,4,4,4,50,false
690,20872,20873,132,132,4,50,false
691,20873,20874,136,136,4,50,false
692,20874,20875,136,136,4,50,false
693,20875,20876,136,136,4,50,false
694,20876,20877,8,8,4,50,false
695,20877,20878,8,8,4,50,false
696,20878,20879,8,8,4,50,false
697,20879,20880,2,2,4,50,false
698,20880,20881,130,130,4,50,false
699,20881,20882,130,130,4,50,false
700,20882,20883,130,130,4,50,false
701,20883,20884,130,130,4,50,false
702,20884,20885,2,2,4,50,false
703,20885,20886,2,2,4,50,false
704,20886,20887,2,2,4,50,false
705,20887,20888,2,2,4,50,false
706,20888,20889,130,130,4,50,false
707,20889,20890,130,130,4,50,false
708,20890,20891,130,130,4,50,false
709,20891,20892,130,130,4,50,false
710,20892,20893,2,2,4,50,false
711,20893,20894,2,2,4,50,false
712,20894,20895,2,2,4,50,false
713,20895,20896,2,2,4,50,false
714,20896,20897,130,130,4,50,false
715,20897,20898,130,130,4,50,false
716,20898,20899,130,130,4,50,false
717,20899,20900,130,130,4,50,false
718,20900,20901,2,2,4,50,false
719,20901,20902,2,2,4,50,false
720,20902,20903,2,2,4,50,false
721,20903,20904,2,2,4,50,false
722,20904,20905,130,130,4,50,false
723,20905,20906,130,130,4,50,false
724,20906,20907,130,130,4,50,false
725,20907,20908,130,130,4,50,false
726,20908,20909,2,2,4,50,false
727,20909,20910,2,2,4,50,false
728,20910,20911,2,2,4,50,false
729,20911,20912,2,2,4,50,false
730,20912,20913,130,130,4,50,false
731,20913,20914,130,130,4,50,false
732,20914,20915,130,130,4,50,false
733,20915,20916,132,132,4,50,false
734,20916,20917,4,4,4,50,false
735,20917,20918,4,4,4,50,false
736,20918,20919,4,4,4,50,false
737,20919,20920,4,4,4,50,false
738,20920,20921,132,132,4,50,false
739,20921,20922,132,132,4,50,false
740,20922,20923,132,132,4,50,false
741,20923,20924,132,132,4,50,false
742,20924,20925,4,4,4,50,false
743,20925,20926,4,4,4,50,false
744,20926,20927,4,4,4,50,false
745,20927,20928,8,8,4,50,false
746,20928,20929,136,136,4,50,false
747,20929,20930,136,136,4,50,false
748,20930,20931,136,136,4,50,false
749,20931,20932,136,136,4,50,false
750,20932,20933,8,8,4,50,false
751,20933,20934,8,8,4,50,false
752,20934,20935,8,8,4,50,false
753,20935,20936,8,8,4,50,false
754,20936,20937,136,136,4,50,false
755,20937,20938,136,136,4,50,false
756,20938,20939,136,136,4,50,false
757,20939,20940,136,136,4,50,false
758,20940,20941,8,8,4,50,false
759,20941,20942,8,8,4,50,false
760,20942,20943,8,8,4,50,false
761,20943,20944,8,8,4,50,false
762,20944,20945,136,136,4,50,false
763,20945,20946,136,136,4,50,false
764,20946,20947,136,136,4,50,false
765,20947,20948,136,136,4,50,false
766,20948,20949,8,8,4,50,false
767,20949,20950,8,8,4,50,false
